ano,mes,id_verbete,valor_total
2021,6,161,2928271909.0
2021,6,162,275238758.0
2021,6,171,49193789.0
2021,6,399,37483525350.0
2021,6,899,37483525350.0
2021,7,160,7337757059.0
2021,7,161,2997852804.0
2021,7,162,279396379.0
2021,7,171,48019616.0
2021,7,399,41740375960.0
2021,7,899,41740375960.0
2021,8,160,7540346018.0
2021,8,161,3034925354.0
2021,8,162,279060233.0
2021,8,171,46930854.0
2021,8,399,51960821800.0
2021,8,899,51960821800.0
2021,9,160,7661878414.0
2021,9,161,3091103331.0
2021,9,162,272750897.0
2021,9,171,45743863.0
2021,9,399,41606850513.0
2021,9,899,41606850513.0
2021,10,160,7759148991.0
2021,10,161,3122832655.0
2021,10,162,268293312.0
2021,10,171,44709871.0
2021,10,399,42514814538.0
2021,10,899,42514814538.0
2021,11,160,7859652054.0
2021,11,161,3171520875.0
2021,11,162,261317443.0
2021,11,171,44087037.0
2021,11,399,39807432568.0
2021,11,899,39807432568.0
2021,12,160,7888234625.0
2021,12,161,3169719416.0
2021,12,162,259949383.0
2021,12,171,43579400.0
2021,12,399,39947646720.0
2021,12,899,39947646720.0
2022,1,160,7851020419.0
2022,1,161,3232484117.0
2022,1,162,245886728.0
2022,1,171,43163694.0
2022,1,399,39449453557.0
2022,1,899,39449453557.0
2022,2,160,7758038543.0
2022,2,161,3240079098.0
2022,2,162,245129449.0
2022,2,171,42857658.0
2022,2,399,39199155786.0
2022,2,899,39199155786.0
2022,3,160,7633712605.0
2022,3,161,3248294843.0
2022,3,162,240553919.0
2022,3,171,41766226.0
2022,3,399,38584950924.0
2022,3,899,38584950924.0
2022,4,160,7560146944.0
2022,4,161,3267464971.0
2022,4,162,233366200.0
2022,4,171,41281231.0
2022,4,399,38581360705.0
2022,4,899,38581360705.0
2022,5,160,7509398815.0
2022,5,161,3260297290.0
2022,5,162,233273671.0
2022,5,171,40368242.0
2022,5,399,38482350582.0
2022,5,899,38482350582.0
2022,6,160,7504968236.0
2022,6,161,3272261288.0
2022,6,162,225289222.0
2022,6,171,39796580.0
2022,6,399,38845883399.0
2022,6,899,38845883399.0
2022,7,160,7536450012.0
2022,7,161,3304056123.0
2022,7,162,239480142.0
2022,7,171,39071371.0
2022,7,399,18541059216.0
2022,7,899,18541059216.0
2022,8,160,7558640049.0
2022,8,161,3371319811.0
2022,8,162,235345069.0
2022,8,171,38410190.0
2022,8,399,18706649418.0
2022,8,899,18706649418.0
2022,9,160,7632729394.0
2022,9,161,3406841489.0
2022,9,162,235953826.0
2022,9,171,37525782.0
2022,9,399,19009795707.0
2022,9,899,19009795707.0
2022,10,160,7769509828.0
2022,10,161,3471211684.0
2022,10,162,231066846.0
2022,10,171,37027174.0
2022,10,399,19395856770.0
2022,10,899,19395856770.0
2022,11,160,7935911398.0
2022,11,161,3567661343.0
2022,11,162,223051017.0
2022,11,171,36621360.0
2022,11,399,19741904340.0
2022,11,899,19741904340.0
2022,12,160,7991247717.0
2022,12,161,3535626700.0
2022,12,162,226436615.0
2022,12,171,36330510.0
2022,12,399,19906248958.0
2022,12,899,19906248958.0
2023,1,160,8038360222.0
2023,1,161,3574688408.0
2023,1,162,218879585.0
2023,1,171,35878419.0
2023,1,399,19893975798.0
2023,1,899,19893975798.0
2023,2,160,7935555903.0
2023,2,161,3459504992.0
2023,2,162,174587056.0
2023,2,171,35712675.0
2023,2,399,19959184312.0
2023,2,899,19959184312.0
2023,3,160,8440560996.0
2023,3,161,3632882142.0
2023,3,162,200854011.0
2023,3,171,35183420.0
2023,3,399,20712778895.0
2023,3,899,20712778895.0
2023,4,160,8541385806.0
2023,4,161,3679853294.0
2023,4,162,196353271.0
2023,4,171,34500206.0
2023,4,399,20611849883.0
2023,4,899,20611849883.0
2023,5,160,8797527920.0
2023,5,161,3704487134.0
2023,5,162,193421599.0
2023,5,171,34114459.0
2023,5,399,20965860152.0
2023,5,899,20965860152.0
2023,6,160,9132649780.0
2023,6,161,3670082543.0
2023,6,162,187058928.0
2023,6,171,33527164.0
2023,6,399,21052375984.0
2023,6,899,21052375984.0
2023,7,160,9249732595.0
2023,7,161,3691916023.0
2023,7,162,185264435.0
2023,7,171,33176985.0
2023,7,399,21075123168.0
2023,7,899,21075123168.0
2023,8,160,9474090232.0
2023,8,161,3703293374.0
2023,8,162,181293354.0
2023,8,171,32502774.0
2023,8,399,21163749355.0
2023,8,899,21163749355.0
2023,9,160,9576612179.0
2023,9,161,3710233420.0
2023,9,162,172126825.0
2023,9,171,32036261.0
2023,9,399,21292025672.0
2023,9,899,21292025672.0
2023,10,160,9653268525.0
2023,10,161,3762737825.0
2023,10,162,171572476.0
2023,10,171,31604690.0
2023,10,399,21261872105.0
2023,10,899,21261872105.0
2023,11,160,9715836836.0
2023,11,161,3784766260.0
2023,11,162,176125227.0
2023,11,171,31164594.0
2023,11,399,21643235975.0
2023,11,899,21643235975.0
2023,12,160,9772262823.0
2023,12,161,3764547913.0
2023,12,162,176265858.0
2023,12,171,30791436.0
2023,12,399,21883387468.0
2023,12,899,21883387468.0
2024,1,160,9890402823.0
2024,1,161,3790887899.0
2024,1,162,169751324.0
2024,1,171,30168106.0
2024,1,399,22110873223.0
2024,1,899,22110873223.0
2024,2,160,9702767412.0
2024,2,161,3792931059.0
2024,2,162,181807139.0
2024,2,171,29629898.0
2024,2,399,22140046858.0
2024,2,899,22140046858.0
2024,3,160,9487310052.0
2024,3,161,3812304978.0
2024,3,162,190476769.0
2024,3,171,29302014.0
2024,3,399,22203466576.0
2024,3,899,22203466576.0
2024,4,160,9588315396.0
2024,4,161,3832544028.0
2024,4,162,188603146.0
2024,4,171,28603059.0
2024,4,399,22321928735.0
2024,4,899,22321928735.0
2024,5,160,9788756603.0
2024,5,161,3818390764.0
2024,5,162,196810753.0
2024,5,171,28379726.0
2024,5,399,21988544647.0
2024,5,899,21988544647.0
2024,6,160,9860552888.0
2024,6,161,3807096093.0
2024,6,162,203819941.0
2024,6,171,27756117.0
2024,6,399,22759637344.0
2024,6,899,22759637344.0
2024,7,160,9828750287.0
2024,7,161,3806919702.0
2024,7,162,168104313.0
2024,7,171,27160038.0
2024,7,399,22833665415.0
2024,7,899,22833665415.0
2024,8,160,9775774001.0
2024,8,161,3827433625.0
2024,8,162,166039352.0
2024,8,171,26636328.0
2024,8,399,23322711961.0
2024,8,899,23322711961.0
2024,9,160,9836339924.0
2024,9,161,3854673459.0
2024,9,162,165375691.0
2024,9,171,26088593.0
2024,9,399,22537071324.0
2024,9,899,22537071324.0
2024,10,160,9829590432.0
2024,10,161,3880169526.0
2024,10,162,166773515.0
2024,10,171,25505175.0
2024,10,399,22568634886.0
2024,10,899,22568634886.0
2024,11,160,9563337357.0
2024,11,161,3884602694.0
2024,11,162,157025281.0
2024,11,171,25188654.0
2024,11,399,22514575963.0
2024,11,899,22514575963.0
2024,12,160,10160177049.0
2024,12,161,3911191550.0
2024,12,162,162441596.0
2024,12,171,24848556.0
2024,12,399,23370296529.0
2024,12,899,23370296529.0
2025,1,160,7651960763.0
2025,1,161,2731737025.0
2025,1,162,88078893.0
2025,1,171,0.0
2025,1,399,19537961944.0
2025,1,899,19531851189.0
2025,2,160,6767884638.0
2025,2,161,1880734357.0
2025,2,162,89605613.0
2025,2,171,0.0
2025,2,399,14103149600.0
2025,2,899,14097038844.0
