ano,mes,cnpj_basico,instituicao,agencias_processadas
2017,5,07450604,BCO CCB BRASIL S.A.,1
2017,5,33479023,BCO CITIBANK S.A.,1
2017,5,00000000,BCO DO BRASIL S.A.,15
2017,5,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2017,5,58160789,BCO SAFRA S.A.,1
2017,5,90400888,BCO SANTANDER (BRASIL) S.A.,18
2017,5,00360305,CAIXA ECONOMICA FEDERAL,14
2017,5,60701190,ITAÚ UNIBANCO S.A.,19
2017,6,00416968,BANCO INTER,1
2017,6,60746948,BCO BRADESCO S.A.,29
2017,6,07450604,BCO CCB BRASIL S.A.,1
2017,6,33479023,BCO CITIBANK S.A.,1
2017,6,00000000,BCO DO BRASIL S.A.,15
2017,6,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2017,6,58160789,BCO SAFRA S.A.,1
2017,6,90400888,BCO SANTANDER (BRASIL) S.A.,18
2017,6,00360305,CAIXA ECONOMICA FEDERAL,14
2017,6,60701190,ITAÚ UNIBANCO S.A.,19
2017,7,00416968,BANCO INTER,1
2017,7,60746948,BCO BRADESCO S.A.,29
2017,7,07450604,BCO CCB BRASIL S.A.,1
2017,7,33479023,BCO CITIBANK S.A.,1
2017,7,00000000,BCO DO BRASIL S.A.,15
2017,7,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2017,7,58160789,BCO SAFRA S.A.,1
2017,7,90400888,BCO SANTANDER (BRASIL) S.A.,18
2017,7,00360305,CAIXA ECONOMICA FEDERAL,14
2017,7,60701190,ITAÚ UNIBANCO S.A.,19
2017,8,00416968,BANCO INTER,1
2017,8,60746948,BCO BRADESCO S.A.,29
2017,8,07450604,BCO CCB BRASIL S.A.,1
2017,8,33479023,BCO CITIBANK S.A.,1
2017,8,00000000,BCO DO BRASIL S.A.,15
2017,8,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2017,8,58160789,BCO SAFRA S.A.,1
2017,8,90400888,BCO SANTANDER (BRASIL) S.A.,18
2017,8,00360305,CAIXA ECONOMICA FEDERAL,14
2017,8,60701190,ITAÚ UNIBANCO S.A.,19
2017,9,00416968,BANCO INTER,1
2017,9,60746948,BCO BRADESCO S.A.,29
2017,9,33479023,BCO CITIBANK S.A.,1
2017,9,00000000,BCO DO BRASIL S.A.,15
2017,9,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2017,9,58160789,BCO SAFRA S.A.,1
2017,9,90400888,BCO SANTANDER (BRASIL) S.A.,18
2017,9,00360305,CAIXA ECONOMICA FEDERAL,14
2017,9,60701190,ITAÚ UNIBANCO S.A.,19
2017,10,00416968,BANCO INTER,1
2017,10,60746948,BCO BRADESCO S.A.,29
2017,10,33479023,BCO CITIBANK S.A.,1
2017,10,00000000,BCO DO BRASIL S.A.,15
2017,10,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2017,10,58160789,BCO SAFRA S.A.,1
2017,10,90400888,BCO SANTANDER (BRASIL) S.A.,18
2017,10,00360305,CAIXA ECONOMICA FEDERAL,14
2017,10,60701190,ITAÚ UNIBANCO S.A.,19
2017,11,00416968,BANCO INTER,1
2017,11,60746948,BCO BRADESCO S.A.,29
2017,11,33479023,BCO CITIBANK S.A.,1
2017,11,00000000,BCO DO BRASIL S.A.,15
2017,11,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2017,11,58160789,BCO SAFRA S.A.,1
2017,11,90400888,BCO SANTANDER (BRASIL) S.A.,18
2017,11,00360305,CAIXA ECONOMICA FEDERAL,14
2017,11,60701190,ITAÚ UNIBANCO S.A.,19
2017,12,00416968,BANCO INTER,1
2017,12,60746948,BCO BRADESCO S.A.,29
2017,12,33479023,BCO CITIBANK S.A.,1
2017,12,00000000,BCO DO BRASIL S.A.,14
2017,12,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2017,12,58160789,BCO SAFRA S.A.,1
2017,12,90400888,BCO SANTANDER (BRASIL) S.A.,18
2017,12,00360305,CAIXA ECONOMICA FEDERAL,14
2017,12,60701190,ITAÚ UNIBANCO S.A.,19
2018,1,00416968,BANCO INTER,1
2018,1,60746948,BCO BRADESCO S.A.,29
2018,1,33479023,BCO CITIBANK S.A.,1
2018,1,00000000,BCO DO BRASIL S.A.,14
2018,1,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2018,1,58160789,BCO SAFRA S.A.,1
2018,1,90400888,BCO SANTANDER (BRASIL) S.A.,18
2018,1,00360305,CAIXA ECONOMICA FEDERAL,14
2018,1,60701190,ITAÚ UNIBANCO S.A.,19
2018,2,00416968,BANCO INTER,1
2018,2,60746948,BCO BRADESCO S.A.,29
2018,2,33479023,BCO CITIBANK S.A.,1
2018,2,00000000,BCO DO BRASIL S.A.,14
2018,2,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2018,2,58160789,BCO SAFRA S.A.,1
2018,2,90400888,BCO SANTANDER (BRASIL) S.A.,18
2018,2,00360305,CAIXA ECONOMICA FEDERAL,14
2018,2,60701190,ITAÚ UNIBANCO S.A.,19
2018,3,00416968,BANCO INTER,1
2018,3,60746948,BCO BRADESCO S.A.,28
2018,3,33479023,BCO CITIBANK S.A.,1
2018,3,00000000,BCO DO BRASIL S.A.,16
2018,3,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2018,3,58160789,BCO SAFRA S.A.,1
2018,3,90400888,BCO SANTANDER (BRASIL) S.A.,18
2018,3,00360305,CAIXA ECONOMICA FEDERAL,14
2018,3,60701190,ITAÚ UNIBANCO S.A.,19
2018,4,00416968,BANCO INTER,1
2018,4,60746948,BCO BRADESCO S.A.,28
